time_x,wave_height (m),wave_height_max (m),wave_direction (°),wave_direction_dominant (°),wave_period (s),wave_period_max (s),wind_wave_height (m),wind_wave_height_max (m),wind_wave_direction (°),wind_wave_direction_dominant (°),swell_wave_height (m),swell_wave_height_max (m),swell_wave_direction (°),swell_wave_direction_dominant (°)
2024-01-01 00:00:00,0.3,0.52,26,10,4.75,6.15,0.0,0.0,208,180,0.3,0.52,26,10
2024-01-01 01:00:00,0.3,0.52,23,10,4.7,6.15,0.0,0.0,180,180,0.3,0.52,23,10
2024-01-01 02:00:00,0.3,0.52,20,10,4.6,6.15,0.0,0.0,180,180,0.3,0.52,20,10
2024-01-01 03:00:00,0.3,0.52,18,10,4.5,6.15,0.0,0.0,180,180,0.3,0.52,18,10
2024-01-01 04:00:00,0.3,0.52,15,10,4.6,6.15,0.0,0.0,180,180,0.3,0.52,15,10
2024-01-01 05:00:00,0.38,0.52,15,10,5.05,6.15,0.0,0.0,180,180,0.38,0.52,15,10
2024-01-01 06:00:00,0.44,0.52,16,10,5.65,6.15,0.0,0.0,180,180,0.44,0.52,16,10
2024-01-01 07:00:00,0.52,0.52,16,10,6.1,6.15,0.0,0.0,180,180,0.52,0.52,16,10
2024-01-01 08:00:00,0.52,0.52,14,10,6.15,6.15,0.0,0.0,180,180,0.52,0.52,14,10
2024-01-01 09:00:00,0.5,0.52,12,10,6.05,6.15,0.0,0.0,180,180,0.5,0.52,12,10
2024-01-01 10:00:00,0.5,0.52,10,10,5.95,6.15,0.0,0.0,180,180,0.5,0.52,10,10
2024-01-01 11:00:00,0.48,0.52,9,10,5.9,6.15,0.0,0.0,180,180,0.48,0.52,9,10
2024-01-01 12:00:00,0.48,0.52,7,10,5.85,6.15,0.0,0.0,180,180,0.48,0.52,7,10
2024-01-01 13:00:00,0.46,0.52,6,10,5.8,6.15,0.0,0.0,180,180,0.46,0.52,6,10
2024-01-01 14:00:00,0.44,0.52,5,10,5.75,6.15,0.0,0.0,180,180,0.44,0.52,5,10
2024-01-01 15:00:00,0.44,0.52,4,10,5.75,6.15,0.0,0.0,180,180,0.44,0.52,4,10
2024-01-01 16:00:00,0.42,0.52,3,10,5.65,6.15,0.0,0.0,180,180,0.42,0.52,3,10
2024-01-01 17:00:00,0.42,0.52,121,10,5.5,6.15,0.0,0.0,180,180,0.42,0.52,121,10
2024-01-01 18:00:00,0.4,0.52,240,10,5.3,6.15,0.0,0.0,180,180,0.4,0.52,240,10
2024-01-01 19:00:00,0.4,0.52,358,10,5.15,6.15,0.0,0.0,180,180,0.4,0.52,358,10
2024-01-01 20:00:00,0.38,0.52,358,10,5.1,6.15,0.0,0.0,180,180,0.38,0.52,358,10
2024-01-01 21:00:00,0.38,0.52,357,10,5.05,6.15,0.0,0.0,180,180,0.38,0.52,357,10
2024-01-01 22:00:00,0.36,0.52,357,10,5.05,6.15,0.0,0.0,180,180,0.36,0.52,357,10
2024-01-01 23:00:00,0.36,0.52,356,10,5.0,6.15,0.0,0.0,180,180,0.36,0.52,356,10
2024-01-02 00:00:00,0.34,0.92,356,341,4.95,7.15,0.0,0.08,180,54,0.34,0.92,356,341
2024-01-02 01:00:00,0.34,0.92,355,341,4.9,7.15,0.0,0.08,180,54,0.34,0.92,355,341
2024-01-02 02:00:00,0.34,0.92,354,341,4.85,7.15,0.0,0.08,180,54,0.34,0.92,354,341
2024-01-02 03:00:00,0.32,0.92,354,341,4.8,7.15,0.0,0.08,180,54,0.32,0.92,354,341
2024-01-02 04:00:00,0.32,0.92,353,341,4.75,7.15,0.0,0.08,180,54,0.32,0.92,353,341
2024-01-02 05:00:00,0.36,0.92,350,341,4.8,7.15,0.0,0.08,180,54,0.36,0.92,350,341
2024-01-02 06:00:00,0.38,0.92,347,341,4.85,7.15,0.0,0.08,180,54,0.38,0.92,347,341
2024-01-02 07:00:00,0.42,0.92,344,341,4.9,7.15,0.0,0.08,180,54,0.42,0.92,344,341
2024-01-02 08:00:00,0.42,0.92,343,341,4.85,7.15,0.0,0.08,180,54,0.42,0.92,343,341
2024-01-02 09:00:00,0.4,0.92,342,341,4.7,7.15,0.0,0.08,180,54,0.4,0.92,342,341
2024-01-02 10:00:00,0.4,0.92,341,341,4.6,7.15,0.0,0.08,180,54,0.4,0.92,341,341
2024-01-02 11:00:00,0.4,0.92,340,341,4.55,7.15,0.02,0.08,134,54,0.4,0.92,340,341
2024-01-02 12:00:00,0.38,0.92,340,341,4.5,7.15,0.02,0.08,87,54,0.38,0.92,339,341
2024-01-02 13:00:00,0.38,0.92,339,341,4.45,7.15,0.04,0.08,41,54,0.38,0.92,338,341
2024-01-02 14:00:00,0.38,0.92,339,341,4.25,7.15,0.06,0.08,38,54,0.38,0.92,338,341
2024-01-02 15:00:00,0.38,0.92,339,341,4.05,7.15,0.06,0.08,34,54,0.36,0.92,338,341
2024-01-02 16:00:00,0.38,0.92,339,341,4.2,7.15,0.08,0.08,31,54,0.36,0.92,338,341
2024-01-02 17:00:00,0.56,0.92,338,341,5.0,7.15,0.06,0.08,81,54,0.54,0.92,338,341
2024-01-02 18:00:00,0.74,0.92,338,341,6.1,7.15,0.02,0.08,130,54,0.74,0.92,337,341
2024-01-02 19:00:00,0.92,0.92,337,341,6.9,7.15,0.0,0.08,180,54,0.92,0.92,337,341
2024-01-02 20:00:00,0.9,0.92,336,341,7.15,7.15,0.0,0.08,180,54,0.9,0.92,336,341
2024-01-02 21:00:00,0.9,0.92,336,341,7.1,7.15,0.0,0.08,180,54,0.9,0.92,336,341
2024-01-02 22:00:00,0.88,0.92,335,341,7.05,7.15,0.0,0.08,180,54,0.88,0.92,335,341
2024-01-02 23:00:00,0.86,0.92,334,341,7.05,7.15,0.0,0.08,180,54,0.86,0.92,334,341
2024-01-03 00:00:00,0.86,0.86,334,336,7.05,7.05,0.0,0.12,180,282,0.86,0.86,334,336
2024-01-03 01:00:00,0.84,0.86,333,336,7.0,7.05,0.0,0.12,180,282,0.84,0.86,333,336
2024-01-03 02:00:00,0.82,0.86,333,336,6.95,7.05,0.0,0.12,205,282,0.82,0.86,333,336
2024-01-03 03:00:00,0.8,0.86,334,336,6.85,7.05,0.02,0.12,230,282,0.8,0.86,334,336
2024-01-03 04:00:00,0.78,0.86,334,336,6.75,7.05,0.02,0.12,255,282,0.78,0.86,334,336
2024-01-03 05:00:00,0.76,0.86,334,336,6.65,7.05,0.02,0.12,257,282,0.76,0.86,334,336
2024-01-03 06:00:00,0.72,0.86,334,336,6.5,7.05,0.02,0.12,258,282,0.72,0.86,334,336
2024-01-03 07:00:00,0.7,0.86,334,336,6.4,7.05,0.02,0.12,260,282,0.7,0.86,334,336
2024-01-03 08:00:00,0.68,0.86,335,336,6.3,7.05,0.02,0.12,233,282,0.68,0.86,335,336
2024-01-03 09:00:00,0.66,0.86,335,336,6.15,7.05,0.0,0.12,207,282,0.66,0.86,335,336
