time_x,temperature_2m (°C),relative_humidity_2m (%),dew_point_2m (°C),apparent_temperature (°C),precipitation (mm),rain (mm),weather_code (wmo code),pressure_msl (hPa),surface_pressure (hPa),cloud_cover (%),wind_speed_10m (km/h),wind_direction_10m (°),soil_temperature_28_to_100cm (°C),soil_moisture_28_to_100cm (m³/m³),is_day (),direct_radiation (W/m²),daily_weather_code (wmo code),temperature_2m_max (°C),temperature_2m_min (°C),temperature_2m_mean (°C),sunrise (iso8601),sunset (iso8601),wind_speed_10m_max (km/h),wind_direction_10m_dominant (°)
2024-01-01 00:00:00,26.2,92,24.8,32.3,0.0,0.0,1,1010.1,1009.4,32,3.1,135,31.2,0.076,0,0.0,63,31.5,24.1,27.8,2024-01-01T05:35,2024-01-01T18:04,16.5,311
2024-01-01 01:00:00,26.1,94,25.0,32.4,0.0,0.0,1,1009.7,1009.0,40,2.9,97,31.2,0.076,0,0.0,63,31.5,24.1,27.8,2024-01-01T05:35,2024-01-01T18:04,16.5,311
2024-01-01 02:00:00,26.2,95,25.4,32.8,0.0,0.0,1,1009.1,1008.4,44,2.3,108,31.2,0.076,0,0.0,63,31.5,24.1,27.8,2024-01-01T05:35,2024-01-01T18:04,16.5,311
2024-01-01 03:00:00,26.3,95,25.4,33.1,0.0,0.0,1,1009.0,1008.3,45,1.1,180,31.2,0.076,0,0.0,63,31.5,24.1,27.8,2024-01-01T05:35,2024-01-01T18:04,16.5,311
2024-01-01 04:00:00,26.0,97,25.5,32.9,0.0,0.0,1,1008.7,1008.0,49,0.7,180,31.2,0.076,0,0.0,63,31.5,24.1,27.8,2024-01-01T05:35,2024-01-01T18:04,16.5,311
2024-01-01 05:00:00,25.7,99,25.5,32.5,0.1,0.1,51,1008.9,1008.2,70,1.5,166,31.2,0.076,0,0.0,63,31.5,24.1,27.8,2024-01-01T05:35,2024-01-01T18:04,16.5,311
2024-01-01 06:00:00,26.1,96,25.4,32.3,0.0,0.0,2,1009.5,1008.8,80,4.8,243,31.2,0.076,1,0.0,63,31.5,24.1,27.8,2024-01-01T05:35,2024-01-01T18:04,16.5,311
2024-01-01 07:00:00,27.4,88,25.3,33.4,0.0,0.0,2,1010.7,1010.0,52,6.3,257,31.2,0.076,1,16.0,63,31.5,24.1,27.8,2024-01-01T05:35,2024-01-01T18:04,16.5,311
2024-01-01 08:00:00,29.5,73,24.1,35.1,0.1,0.1,51,1010.9,1010.2,38,3.7,349,31.2,0.076,1,202.0,63,31.5,24.1,27.8,2024-01-01T05:35,2024-01-01T18:04,16.5,311
2024-01-01 09:00:00,30.3,70,24.3,35.8,0.1,0.1,51,1011.2,1010.5,66,5.4,20,31.2,0.076,1,299.0,63,31.5,24.1,27.8,2024-01-01T05:35,2024-01-01T18:04,16.5,311
2024-01-01 10:00:00,30.9,68,24.2,36.5,0.4,0.4,51,1011.3,1010.6,64,8.0,5,31.2,0.076,1,399.0,63,31.5,24.1,27.8,2024-01-01T05:35,2024-01-01T18:04,16.5,311
2024-01-01 11:00:00,30.9,67,24.1,36.3,0.2,0.2,51,1010.7,1010.0,68,9.0,358,31.2,0.076,1,260.0,63,31.5,24.1,27.8,2024-01-01T05:35,2024-01-01T18:04,16.5,311
2024-01-01 12:00:00,30.6,69,24.2,36.1,0.6,0.6,53,1009.7,1009.0,22,9.3,344,31.2,0.076,1,300.0,63,31.5,24.1,27.8,2024-01-01T05:35,2024-01-01T18:04,16.5,311
2024-01-01 13:00:00,31.2,67,24.4,37.9,0.1,0.1,51,1009.1,1008.4,34,9.4,328,31.2,0.076,1,647.0,63,31.5,24.1,27.8,2024-01-01T05:35,2024-01-01T18:04,16.5,311
2024-01-01 14:00:00,31.5,65,24.1,36.6,0.0,0.0,1,1008.4,1007.7,35,16.5,337,31.2,0.076,1,688.0,63,31.5,24.1,27.8,2024-01-01T05:35,2024-01-01T18:04,16.5,311
2024-01-01 15:00:00,31.3,67,24.3,36.5,0.0,0.0,0,1007.9,1007.2,14,12.6,333,31.2,0.076,1,581.0,63,31.5,24.1,27.8,2024-01-01T05:35,2024-01-01T18:04,16.5,311
2024-01-01 16:00:00,30.6,70,24.4,35.6,0.1,0.1,51,1007.9,1007.2,35,8.9,339,31.2,0.076,1,353.0,63,31.5,24.1,27.8,2024-01-01T05:35,2024-01-01T18:04,16.5,311
2024-01-01 17:00:00,28.8,74,23.7,33.9,1.0,1.0,55,1008.7,1008.0,70,5.6,297,31.2,0.076,1,197.0,63,31.5,24.1,27.8,2024-01-01T05:35,2024-01-01T18:04,16.5,311
2024-01-01 18:00:00,27.2,84,24.3,32.5,0.5,0.5,53,1009.2,1008.5,33,6.4,227,31.2,0.076,1,27.0,63,31.5,24.1,27.8,2024-01-01T05:35,2024-01-01T18:04,16.5,311
2024-01-01 19:00:00,26.6,91,25.0,32.6,0.0,0.0,1,1010.1,1009.4,48,5.4,233,31.2,0.076,0,0.0,63,31.5,24.1,27.8,2024-01-01T05:35,2024-01-01T18:04,16.5,311
2024-01-01 20:00:00,25.5,94,24.4,30.6,2.0,2.0,61,1010.0,1009.3,42,8.3,182,31.2,0.076,0,0.0,63,31.5,24.1,27.8,2024-01-01T05:35,2024-01-01T18:04,16.5,311
2024-01-01 21:00:00,24.8,97,24.3,30.1,3.5,3.5,63,1011.4,1010.7,100,6.8,162,31.2,0.076,0,0.0,63,31.5,24.1,27.8,2024-01-01T05:35,2024-01-01T18:04,16.5,311
2024-01-01 22:00:00,24.1,98,23.7,28.1,5.6,5.6,63,1011.5,1010.8,100,13.4,166,31.2,0.076,0,0.0,63,31.5,24.1,27.8,2024-01-01T05:35,2024-01-01T18:04,16.5,311
2024-01-01 23:00:00,24.7,92,23.4,29.9,0.4,0.4,51,1011.0,1010.3,69,4.1,225,31.2,0.076,0,0.0,63,31.5,24.1,27.8,2024-01-01T05:35,2024-01-01T18:04,16.5,311
2024-01-02 00:00:00,24.5,97,24.0,29.9,1.0,1.0,55,1010.4,1009.7,67,4.7,180,31.2,0.076,0,0.0,63,31.0,24.4,26.9,2024-01-02T05:36,2024-01-02T18:04,11.5,136
2024-01-02 01:00:00,24.7,93,23.4,30.1,2.3,2.3,61,1010.1,1009.4,69,1.8,37,31.2,0.076,0,0.0,63,31.0,24.4,26.9,2024-01-02T05:36,2024-01-02T18:04,11.5,136
2024-01-02 02:00:00,24.4,97,24.0,28.8,1.0,1.0,55,1009.6,1008.9,47,11.5,141,31.1,0.077,0,0.0,63,31.0,24.4,26.9,2024-01-02T05:36,2024-01-02T18:04,11.5,136
2024-01-02 03:00:00,24.4,97,23.9,29.6,0.2,0.2,51,1008.8,1008.1,39,5.7,125,31.1,0.077,0,0.0,63,31.0,24.4,26.9,2024-01-02T05:36,2024-01-02T18:04,11.5,136
2024-01-02 04:00:00,24.4,97,23.9,29.1,0.1,0.1,51,1008.8,1008.1,39,8.8,161,31.1,0.077,0,0.0,63,31.0,24.4,26.9,2024-01-02T05:36,2024-01-02T18:04,11.5,136
2024-01-02 05:00:00,24.5,97,24.0,29.4,0.1,0.1,51,1008.5,1007.8,32,7.8,146,31.1,0.077,0,0.0,63,31.0,24.4,26.9,2024-01-02T05:36,2024-01-02T18:04,11.5,136
2024-01-02 06:00:00,24.9,95,24.1,30.3,0.0,0.0,1,1009.0,1008.3,38,5.4,172,31.1,0.077,1,0.0,63,31.0,24.4,26.9,2024-01-02T05:36,2024-01-02T18:04,11.5,136
2024-01-02 07:00:00,26.0,91,24.4,31.6,0.0,0.0,1,1009.8,1009.1,45,5.2,164,31.1,0.077,1,3.0,63,31.0,24.4,26.9,2024-01-02T05:36,2024-01-02T18:04,11.5,136
2024-01-02 08:00:00,26.6,95,25.6,33.4,0.6,0.6,53,1010.4,1009.7,37,2.1,149,31.1,0.077,1,2.0,63,31.0,24.4,26.9,2024-01-02T05:36,2024-01-02T18:04,11.5,136
2024-01-02 09:00:00,27.0,94,26.0,34.0,1.1,1.1,55,1010.7,1010.0,56,3.0,104,31.1,0.077,1,2.0,63,31.0,24.4,26.9,2024-01-02T05:36,2024-01-02T18:04,11.5,136
2024-01-02 10:00:00,28.0,87,25.6,34.3,0.5,0.5,53,1010.1,1009.4,30,5.9,137,31.1,0.077,1,41.0,63,31.0,24.4,26.9,2024-01-02T05:36,2024-01-02T18:04,11.5,136
2024-01-02 11:00:00,29.7,77,25.1,36.5,0.1,0.1,51,1009.6,1008.9,38,1.0,45,31.1,0.077,1,171.0,63,31.0,24.4,26.9,2024-01-02T05:36,2024-01-02T18:04,11.5,136
2024-01-02 12:00:00,30.8,69,24.3,37.3,0.2,0.2,51,1009.1,1008.4,51,5.6,27,31.1,0.077,1,335.0,63,31.0,24.4,26.9,2024-01-02T05:36,2024-01-02T18:04,11.5,136
2024-01-02 13:00:00,30.7,71,24.7,36.5,0.2,0.2,51,1008.1,1007.4,56,7.2,27,31.1,0.077,1,217.0,63,31.0,24.4,26.9,2024-01-02T05:36,2024-01-02T18:04,11.5,136
2024-01-02 14:00:00,31.0,70,24.8,37.3,0.1,0.1,51,1007.1,1006.4,100,6.9,6,31.1,0.077,1,386.0,63,31.0,24.4,26.9,2024-01-02T05:36,2024-01-02T18:04,11.5,136
2024-01-02 15:00:00,30.4,71,24.6,36.1,0.2,0.2,51,1006.8,1006.1,100,5.0,360,31.1,0.077,1,308.0,63,31.0,24.4,26.9,2024-01-02T05:36,2024-01-02T18:04,11.5,136
2024-01-02 16:00:00,29.0,77,24.5,34.4,0.5,0.5,53,1006.9,1006.2,100,6.5,56,31.1,0.077,1,147.0,63,31.0,24.4,26.9,2024-01-02T05:36,2024-01-02T18:04,11.5,136
2024-01-02 17:00:00,27.8,83,24.7,33.4,2.1,2.1,61,1007.3,1006.6,86,6.9,84,31.0,0.077,1,16.0,63,31.0,24.4,26.9,2024-01-02T05:36,2024-01-02T18:04,11.5,136
2024-01-02 18:00:00,27.7,84,24.7,33.7,0.0,0.0,1,1008.0,1007.3,39,4.0,100,31.0,0.077,1,4.0,63,31.0,24.4,26.9,2024-01-02T05:36,2024-01-02T18:04,11.5,136
2024-01-02 19:00:00,27.2,89,25.3,33.5,0.0,0.0,2,1008.8,1008.1,51,4.5,119,31.0,0.077,0,0.0,63,31.0,24.4,26.9,2024-01-02T05:36,2024-01-02T18:04,11.5,136
2024-01-02 20:00:00,26.4,91,24.8,31.8,0.1,0.1,51,1009.7,1009.0,100,8.6,178,31.0,0.077,0,0.0,63,31.0,24.4,26.9,2024-01-02T05:36,2024-01-02T18:04,11.5,136
2024-01-02 21:00:00,25.9,93,24.6,31.3,0.1,0.1,51,1010.3,1009.6,100,7.9,196,31.0,0.077,0,0.0,63,31.0,24.4,26.9,2024-01-02T05:36,2024-01-02T18:04,11.5,136
2024-01-02 22:00:00,25.2,96,24.5,30.3,0.6,0.6,53,1010.3,1009.6,87,9.1,171,31.0,0.077,0,0.0,63,31.0,24.4,26.9,2024-01-02T05:36,2024-01-02T18:04,11.5,136
2024-01-02 23:00:00,24.6,98,24.2,29.5,3.2,3.2,63,1010.6,1009.9,100,8.9,201,31.0,0.077,0,0.0,63,31.0,24.4,26.9,2024-01-02T05:36,2024-01-02T18:04,11.5,136
2024-01-03 00:00:00,24.4,98,24.1,29.2,5.0,5.0,63,1010.5,1009.8,100,9.4,198,31.0,0.077,0,0.0,63,30.0,23.7,26.9,2024-01-03T05:36,2024-01-03T18:05,15.6,257
2024-01-03 01:00:00,24.5,96,23.8,29.2,0.1,0.1,51,1009.7,1009.0,91,8.2,203,31.0,0.077,0,0.0,63,30.0,23.7,26.9,2024-01-03T05:36,2024-01-03T18:05,15.6,257
