time,temperature_2m (°C),relative_humidity_2m (%),dew_point_2m (°C),apparent_temperature (°C),precipitation (mm),rain (mm),weather_code (wmo code),pressure_msl (hPa),surface_pressure (hPa),cloud_cover (%),wind_speed_10m (km/h),wind_direction_10m (°),soil_temperature_28_to_100cm (°C),soil_moisture_28_to_100cm (m³/m³),is_day (),direct_radiation (W/m²),daily_weather_code (wmo code),temperature_2m_max (°C),temperature_2m_min (°C),temperature_2m_mean (°C),sunrise (iso8601),sunset (iso8601),wind_speed_10m_max (km/h),wind_direction_10m_dominant (°),wave_height (m),wave_height_max (m),wave_direction (°),wave_direction_dominant (°),wave_period (s),wave_period_max (s),wind_wave_height (m),wind_wave_height_max (m),wind_wave_direction (°),wind_wave_direction_dominant (°),swell_wave_height (m),swell_wave_height_max (m),swell_wave_direction (°),swell_wave_direction_dominant (°)
2024-01-01 00:00:00,26.2,92,24.8,32.3,0.0,0.0,1,1010.1,1009.4,32,3.1,135,31.2,0.076,0,0.0,63,31.5,24.1,27.8,2024-01-01T05:35,2024-01-01T18:04,16.5,311,0.3,0.52,26,10,4.75,6.15,0.0,0.0,208,180,0.3,0.52,26,10
2024-01-01 01:00:00,26.1,94,25.0,32.4,0.0,0.0,1,1009.7,1009.0,40,2.9,97,31.2,0.076,0,0.0,63,31.5,24.1,27.8,2024-01-01T05:35,2024-01-01T18:04,16.5,311,0.3,0.52,23,10,4.7,6.15,0.0,0.0,180,180,0.3,0.52,23,10
2024-01-01 02:00:00,26.2,95,25.4,32.8,0.0,0.0,1,1009.1,1008.4,44,2.3,108,31.2,0.076,0,0.0,63,31.5,24.1,27.8,2024-01-01T05:35,2024-01-01T18:04,16.5,311,0.3,0.52,20,10,4.6,6.15,0.0,0.0,180,180,0.3,0.52,20,10
2024-01-01 03:00:00,26.3,95,25.4,33.1,0.0,0.0,1,1009.0,1008.3,45,1.1,180,31.2,0.076,0,0.0,63,31.5,24.1,27.8,2024-01-01T05:35,2024-01-01T18:04,16.5,311,0.3,0.52,18,10,4.5,6.15,0.0,0.0,180,180,0.3,0.52,18,10
2024-01-01 04:00:00,26.0,97,25.5,32.9,0.0,0.0,1,1008.7,1008.0,49,0.7,180,31.2,0.076,0,0.0,63,31.5,24.1,27.8,2024-01-01T05:35,2024-01-01T18:04,16.5,311,0.3,0.52,15,10,4.6,6.15,0.0,0.0,180,180,0.3,0.52,15,10
2024-01-01 05:00:00,25.7,99,25.5,32.5,0.1,0.1,51,1008.9,1008.2,70,1.5,166,31.2,0.076,0,0.0,63,31.5,24.1,27.8,2024-01-01T05:35,2024-01-01T18:04,16.5,311,0.38,0.52,15,10,5.05,6.15,0.0,0.0,180,180,0.38,0.52,15,10
2024-01-01 06:00:00,26.1,96,25.4,32.3,0.0,0.0,2,1009.5,1008.8,80,4.8,243,31.2,0.076,1,0.0,63,31.5,24.1,27.8,2024-01-01T05:35,2024-01-01T18:04,16.5,311,0.44,0.52,16,10,5.65,6.15,0.0,0.0,180,180,0.44,0.52,16,10
2024-01-01 07:00:00,27.4,88,25.3,33.4,0.0,0.0,2,1010.7,1010.0,52,6.3,257,31.2,0.076,1,16.0,63,31.5,24.1,27.8,2024-01-01T05:35,2024-01-01T18:04,16.5,311,0.52,0.52,16,10,6.1,6.15,0.0,0.0,180,180,0.52,0.52,16,10
2024-01-01 08:00:00,29.5,73,24.1,35.1,0.1,0.1,51,1010.9,1010.2,38,3.7,349,31.2,0.076,1,202.0,63,31.5,24.1,27.8,2024-01-01T05:35,2024-01-01T18:04,16.5,311,0.52,0.52,14,10,6.15,6.15,0.0,0.0,180,180,0.52,0.52,14,10
2024-01-01 09:00:00,30.3,70,24.3,35.8,0.1,0.1,51,1011.2,1010.5,66,5.4,20,31.2,0.076,1,299.0,63,31.5,24.1,27.8,2024-01-01T05:35,2024-01-01T18:04,16.5,311,0.5,0.52,12,10,6.05,6.15,0.0,0.0,180,180,0.5,0.52,12,10
