time,wave_height_max (m),wave_direction_dominant (°),wave_period_max (s),wind_wave_height_max (m),wind_wave_direction_dominant (°),swell_wave_height_max (m),swell_wave_direction_dominant (°)
2024-01-01,0.52,10,6.15,0.00,180,0.52,10
2024-01-02,0.92,341,7.15,0.08,54,0.92,341
2024-01-03,0.86,336,7.05,0.12,282,0.86,336
2024-01-04,0.64,336,5.90,0.28,261,0.64,340
2024-01-05,0.54,331,5.30,0.26,252,0.46,334
2024-01-06,0.40,347,7.25,0.00,180,0.40,347
2024-01-07,0.50,341,7.15,0.00,180,0.50,341
2024-01-08,0.40,345,5.75,0.00,180,0.40,345
2024-01-09,0.38,346,5.45,0.14,57,0.38,346
2024-01-10,0.42,342,5.60,0.14,299,0.42,342
2024-01-11,0.42,326,4.30,0.22,287,0.36,330
2024-01-12,0.48,313,4.50,0.40,294,0.46,314
2024-01-13,0.50,308,4.85,0.34,297,0.44,308
2024-01-14,0.64,319,4.80,0.56,306,0.52,320
2024-01-15,0.86,325,4.55,0.58,300,0.68,328
2024-01-16,0.76,322,4.80,0.44,289,0.64,325
2024-01-17,0.94,313,4.70,0.78,290,0.82,324
2024-01-18,1.58,321,7.75,0.24,271,1.58,322
2024-01-19,1.44,312,7.25,1.28,287,1.18,321
2024-01-20,0.94,305,5.50,0.34,264,0.88,306
2024-01-21,1.04,303,5.10,1.00,294,0.78,305
2024-01-22,1.10,305,4.85,1.02,292,0.90,309
2024-01-23,0.80,307,4.95,0.14,261,0.78,307
2024-01-24,0.96,309,4.75,0.74,299,0.86,310
2024-01-25,0.64,323,4.65,0.42,305,0.64,327
2024-01-26,0.78,331,4.35,0.54,304,0.66,340
2024-01-27,0.74,322,4.35,0.64,293,0.60,341
2024-01-28,0.82,320,4.40,0.72,294,0.58,340
2024-01-29,0.68,324,4.80,0.48,288,0.58,340
2024-01-30,0.92,323,5.00,0.82,297,0.56,342
2024-01-31,0.84,314,4.40,0.68,294,0.62,334
2024-02-01,0.56,328,4.85,0.32,294,0.56,333
2024-02-02,0.44,330,4.70,0.24,275,0.44,335
2024-02-03,0.90,314,4.25,0.72,294,0.58,325
2024-02-04,0.84,310,4.35,0.80,295,0.74,321
2024-02-05,0.68,327,4.80,0.58,308,0.56,333
2024-02-06,1.02,315,4.35,0.92,300,0.70,332
2024-02-07,0.86,308,4.15,0.68,289,0.62,315
2024-02-08,0.48,328,4.95,0.14,303,0.46,328
2024-02-09,0.42,337,4.90,0.32,325,0.42,340
2024-02-10,0.74,328,4.25,0.56,297,0.62,339
2024-02-11,1.08,322,5.90,0.96,296,0.98,337
2024-02-12,1.00,317,4.65,0.92,297,0.68,336
2024-02-13,0.70,324,4.75,0.52,291,0.66,332
2024-02-14,0.68,336,6.80,0.26,287,0.68,338
2024-02-15,0.46,338,5.60,0.06,247,0.46,339
2024-02-16,0.48,336,6.65,0.36,305,0.48,343
2024-02-17,0.64,322,4.10,0.52,294,0.50,335
2024-02-18,0.54,343,5.15,0.18,298,0.52,343
2024-02-19,0.48,349,5.10,0.08,336,0.48,349
2024-02-20,0.48,345,5.95,0.22,301,0.48,346
2024-02-21,0.46,334,4.15,0.38,299,0.36,342
2024-02-22,0.62,329,3.90,0.48,307,0.56,331
2024-02-23,0.54,326,4.05,0.34,310,0.54,329
2024-02-24,0.74,332,4.40,0.58,307,0.66,340
2024-02-25,0.82,326,4.40,0.66,300,0.60,341
2024-02-26,0.68,328,4.35,0.42,289,0.54,334
2024-02-27,0.42,336,4.00,0.26,305,0.40,339
2024-02-28,0.62,332,4.75,0.44,293,0.50,347
2024-02-29,0.64,331,5.35,0.48,292,0.52,343
