time,weather_code (wmo code),temperature_2m_max (°C),temperature_2m_min (°C),temperature_2m_mean (°C),sunrise (iso8601),sunset (iso8601),wind_speed_10m_max (km/h),wind_direction_10m_dominant (°)
2024-01-01,63,31.5,24.1,27.8,2024-01-01T05:35,2024-01-01T18:04,16.5,311
2024-01-02,63,31.0,24.4,26.9,2024-01-02T05:36,2024-01-02T18:04,11.5,136
2024-01-03,63,30.0,23.7,26.9,2024-01-03T05:36,2024-01-03T18:05,15.6,257
2024-01-04,63,26.2,24.5,25.5,2024-01-04T05:37,2024-01-04T18:05,9.4,276
2024-01-05,53,30.6,24.2,27.4,2024-01-05T05:37,2024-01-05T18:06,12.1,255
2024-01-06,53,31.8,24.6,27.6,2024-01-06T05:38,2024-01-06T18:06,11.6,227
2024-01-07,63,29.1,24.3,26.5,2024-01-07T05:38,2024-01-07T18:06,11.7,346
2024-01-08,61,30.5,24.2,26.9,2024-01-08T05:39,2024-01-08T18:07,10.5,265
2024-01-09,61,31.3,25.2,27.5,2024-01-09T05:39,2024-01-09T18:07,7.3,215
2024-01-10,63,29.9,25.4,27.2,2024-01-10T05:40,2024-01-10T18:07,11.6,219
2024-01-11,65,30.0,25.2,26.8,2024-01-11T05:40,2024-01-11T18:08,15.5,309
2024-01-12,3,31.5,24.8,28.2,2024-01-12T05:41,2024-01-12T18:08,15.0,290
2024-01-13,53,31.8,26.1,28.5,2024-01-13T05:41,2024-01-13T18:08,13.2,321
2024-01-14,53,30.9,25.1,27.8,2024-01-14T05:42,2024-01-14T18:09,17.8,301
2024-01-15,61,30.2,25.7,27.8,2024-01-15T05:42,2024-01-15T18:09,14.1,291
2024-01-16,63,31.6,25.2,27.8,2024-01-16T05:42,2024-01-16T18:09,20.5,287
2024-01-17,63,30.3,25.3,27.2,2024-01-17T05:43,2024-01-17T18:09,23.3,276
2024-01-18,63,31.3,24.9,27.1,2024-01-18T05:43,2024-01-18T18:09,13.9,244
2024-01-19,61,29.5,25.1,26.6,2024-01-19T05:44,2024-01-19T18:10,25.8,273
2024-01-20,63,31.8,24.6,27.7,2024-01-20T05:44,2024-01-20T18:10,14.3,254
2024-01-21,63,31.4,24.4,27.1,2024-01-21T05:45,2024-01-21T18:10,21.9,276
2024-01-22,63,31.3,24.5,26.9,2024-01-22T05:45,2024-01-22T18:10,18.6,251
2024-01-23,51,30.2,24.2,27.3,2024-01-23T05:45,2024-01-23T18:10,10.4,180
2024-01-24,61,31.4,24.8,27.4,2024-01-24T05:46,2024-01-24T18:11,26.7,281
2024-01-25,63,30.3,23.8,26.8,2024-01-25T05:46,2024-01-25T18:11,16.1,289
2024-01-26,63,29.5,23.5,26.5,2024-01-26T05:46,2024-01-26T18:11,20.7,290
2024-01-27,53,29.3,24.0,26.8,2024-01-27T05:47,2024-01-27T18:11,21.8,278
