time,wave_height (m),wave_direction (°),wave_period (s),wind_wave_height (m),wind_wave_direction (°),swell_wave_height (m),swell_wave_direction (°)
2024-01-01T00:00,0.30,26,4.75,0.00,208,0.30,26
2024-01-01T01:00,0.30,23,4.70,0.00,180,0.30,23
2024-01-01T02:00,0.30,20,4.60,0.00,180,0.30,20
2024-01-01T03:00,0.30,18,4.50,0.00,180,0.30,18
2024-01-01T04:00,0.30,15,4.60,0.00,180,0.30,15
2024-01-01T05:00,0.38,15,5.05,0.00,180,0.38,15
2024-01-01T06:00,0.44,16,5.65,0.00,180,0.44,16
2024-01-01T07:00,0.52,16,6.10,0.00,180,0.52,16
2024-01-01T08:00,0.52,14,6.15,0.00,180,0.52,14
2024-01-01T09:00,0.50,12,6.05,0.00,180,0.50,12
2024-01-01T10:00,0.50,10,5.95,0.00,180,0.50,10
2024-01-01T11:00,0.48,9,5.90,0.00,180,0.48,9
2024-01-01T12:00,0.48,7,5.85,0.00,180,0.48,7
2024-01-01T13:00,0.46,6,5.80,0.00,180,0.46,6
2024-01-01T14:00,0.44,5,5.75,0.00,180,0.44,5
2024-01-01T15:00,0.44,4,5.75,0.00,180,0.44,4
2024-01-01T16:00,0.42,3,5.65,0.00,180,0.42,3
2024-01-01T17:00,0.42,121,5.50,0.00,180,0.42,121
2024-01-01T18:00,0.40,240,5.30,0.00,180,0.40,240
2024-01-01T19:00,0.40,358,5.15,0.00,180,0.40,358
2024-01-01T20:00,0.38,358,5.10,0.00,180,0.38,358
2024-01-01T21:00,0.38,357,5.05,0.00,180,0.38,357
2024-01-01T22:00,0.36,357,5.05,0.00,180,0.36,357
2024-01-01T23:00,0.36,356,5.00,0.00,180,0.36,356
2024-01-02T00:00,0.34,356,4.95,0.00,180,0.34,356
2024-01-02T01:00,0.34,355,4.90,0.00,180,0.34,355
2024-01-02T02:00,0.34,354,4.85,0.00,180,0.34,354
2024-01-02T03:00,0.32,354,4.80,0.00,180,0.32,354
2024-01-02T04:00,0.32,353,4.75,0.00,180,0.32,353
2024-01-02T05:00,0.36,350,4.80,0.00,180,0.36,350
2024-01-02T06:00,0.38,347,4.85,0.00,180,0.38,347
2024-01-02T07:00,0.42,344,4.90,0.00,180,0.42,344
2024-01-02T08:00,0.42,343,4.85,0.00,180,0.42,343
2024-01-02T09:00,0.40,342,4.70,0.00,180,0.40,342
2024-01-02T10:00,0.40,341,4.60,0.00,180,0.40,341
2024-01-02T11:00,0.40,340,4.55,0.02,134,0.40,340
2024-01-02T12:00,0.38,340,4.50,0.02,87,0.38,339
2024-01-02T13:00,0.38,339,4.45,0.04,41,0.38,338
2024-01-02T14:00,0.38,339,4.25,0.06,38,0.38,338
2024-01-02T15:00,0.38,339,4.05,0.06,34,0.36,338
2024-01-02T16:00,0.38,339,4.20,0.08,31,0.36,338
2024-01-02T17:00,0.56,338,5.00,0.06,81,0.54,338
2024-01-02T18:00,0.74,338,6.10,0.02,130,0.74,337
2024-01-02T19:00,0.92,337,6.90,0.00,180,0.92,337
2024-01-02T20:00,0.90,336,7.15,0.00,180,0.90,336
2024-01-02T21:00,0.90,336,7.10,0.00,180,0.90,336
2024-01-02T22:00,0.88,335,7.05,0.00,180,0.88,335
2024-01-02T23:00,0.86,334,7.05,0.00,180,0.86,334
2024-01-03T00:00,0.86,334,7.05,0.00,180,0.86,334
2024-01-03T01:00,0.84,333,7.00,0.00,180,0.84,333
2024-01-03T02:00,0.82,333,6.95,0.00,205,0.82,333
2024-01-03T03:00,0.80,334,6.85,0.02,230,0.80,334
2024-01-03T04:00,0.78,334,6.75,0.02,255,0.78,334
2024-01-03T05:00,0.76,334,6.65,0.02,257,0.76,334
2024-01-03T06:00,0.72,334,6.50,0.02,258,0.72,334
2024-01-03T07:00,0.70,334,6.40,0.02,260,0.70,334
2024-01-03T08:00,0.68,335,6.30,0.02,233,0.68,335
2024-01-03T09:00,0.66,335,6.15,0.00,207,0.66,335
2024-01-03T10:00,0.64,336,6.05,0.00,180,0.64,336
2024-01-03T11:00,0.64,337,6.00,0.02,218,0.64,337
2024-01-03T12:00,0.62,338,5.90,0.02,255,0.62,338
2024-01-03T13:00,0.62,339,5.85,0.04,293,0.62,339
2024-01-03T14:00,0.62,339,5.75,0.06,296,0.62,339
2024-01-03T15:00,0.60,339,5.65,0.08,299,0.60,340
2024-01-03T16:00,0.60,339,5.55,0.10,302,0.60,340
2024-01-03T17:00,0.60,338,5.40,0.10,298,0.58,339
2024-01-03T18:00,0.58,338,5.25,0.12,293,0.58,339
2024-01-03T19:00,0.58,337,5.15,0.12,289,0.56,338
2024-01-03T20:00,0.58,337,5.10,0.10,282,0.56,338
2024-01-03T21:00,0.56,337,5.10,0.08,274,0.56,337
2024-01-03T22:00,0.56,337,5.10,0.06,267,0.56,337
2024-01-03T23:00,0.54,337,5.10,0.04,238,0.54,337
2024-01-04T00:00,0.54,338,5.05,0.02,209,0.54,338
2024-01-04T01:00,0.52,338,5.05,0.00,180,0.52,338
2024-01-04T02:00,0.50,338,5.00,0.00,180,0.50,338
2024-01-04T03:00,0.50,339,4.95,0.00,180,0.50,339
2024-01-04T04:00,0.48,339,5.00,0.00,180,0.48,339
2024-01-04T05:00,0.54,339,5.25,0.00,180,0.54,339
2024-01-04T06:00,0.58,340,5.60,0.00,180,0.58,340
2024-01-04T07:00,0.64,340,5.85,0.00,180,0.64,340
2024-01-04T08:00,0.62,341,5.90,0.00,180,0.62,341
2024-01-04T09:00,0.60,341,5.80,0.00,180,0.60,341
2024-01-04T10:00,0.58,342,5.75,0.00,180,0.58,342
2024-01-04T11:00,0.56,343,5.70,0.00,180,0.56,343
2024-01-04T12:00,0.54,343,5.65,0.00,180,0.54,343
2024-01-04T13:00,0.52,344,5.60,0.00,180,0.52,344
2024-01-04T14:00,0.50,344,5.55,0.04,216,0.50,345
2024-01-04T15:00,0.50,345,5.50,0.06,252,0.48,345
2024-01-04T16:00,0.48,345,5.40,0.10,288,0.46,346
2024-01-04T17:00,0.52,339,5.20,0.14,280,0.48,343
2024-01-04T18:00,0.54,333,4.95,0.20,272,0.52,339
2024-01-04T19:00,0.58,327,4.75,0.24,264,0.54,336
2024-01-04T20:00,0.58,324,4.60,0.26,260,0.52,335
2024-01-04T21:00,0.56,320,4.50,0.26,257,0.50,335
2024-01-04T22:00,0.56,317,4.40,0.28,253,0.48,334
2024-01-04T23:00,0.54,317,4.35,0.26,253,0.48,333
2024-01-05T00:00,0.54,316,4.30,0.26,253,0.46,331
2024-01-05T01:00,0.52,316,4.30,0.24,253,0.46,330
2024-01-05T02:00,0.50,317,4.25,0.22,255,0.46,328
2024-01-05T03:00,0.48,317,4.25,0.18,257,0.44,326
2024-01-05T04:00,0.46,318,4.30,0.16,259,0.44,324
2024-01-05T05:00,0.46,322,4.50,0.12,256,0.44,326
2024-01-05T06:00,0.44,326,4.80,0.08,253,0.44,328
2024-01-05T07:00,0.44,330,5.00,0.04,250,0.44,330
2024-01-05T08:00,0.42,332,5.10,0.04,244,0.42,332
2024-01-05T09:00,0.42,333,5.10,0.04,237,0.42,333
2024-01-05T10:00,0.40,335,5.15,0.04,231,0.40,335
2024-01-05T11:00,0.40,336,5.20,0.02,214,0.40,336
2024-01-05T12:00,0.38,337,5.25,0.02,197,0.38,337
2024-01-05T13:00,0.38,338,5.25,0.00,180,0.38,338
2024-01-05T14:00,0.36,339,5.25,0.00,180,0.36,339
2024-01-05T15:00,0.36,339,5.25,0.00,180,0.36,339
2024-01-05T16:00,0.34,340,5.25,0.00,180,0.34,340
2024-01-05T17:00,0.34,340,5.25,0.00,180,0.34,340
2024-01-05T18:00,0.32,341,5.25,0.00,180,0.32,341
2024-01-05T19:00,0.32,341,5.25,0.00,180,0.32,341
2024-01-05T20:00,0.32,341,5.25,0.00,180,0.32,341
2024-01-05T21:00,0.30,342,5.30,0.00,180,0.30,342
2024-01-05T22:00,0.30,342,5.30,0.00,180,0.30,342
2024-01-05T23:00,0.30,342,5.30,0.00,180,0.30,342
2024-01-06T00:00,0.30,343,5.30,0.00,180,0.30,343
2024-01-06T01:00,0.30,343,5.30,0.00,180,0.30,343
2024-01-06T02:00,0.30,343,5.30,0.00,180,0.30,343
2024-01-06T03:00,0.28,344,5.30,0.00,180,0.28,344
2024-01-06T04:00,0.28,344,5.35,0.00,180,0.28,344
2024-01-06T05:00,0.28,344,5.40,0.00,180,0.28,344
2024-01-06T06:00,0.28,345,5.45,0.00,180,0.28,345
2024-01-06T07:00,0.28,345,5.55,0.00,180,0.28,345
2024-01-06T08:00,0.28,345,5.65,0.00,180,0.28,345
2024-01-06T09:00,0.30,346,5.75,0.00,180,0.30,346
2024-01-06T10:00,0.30,346,5.85,0.00,180,0.30,346
2024-01-06T11:00,0.30,346,5.90,0.00,180,0.30,346
2024-01-06T12:00,0.30,347,5.95,0.00,180,0.30,347
2024-01-06T13:00,0.30,347,5.95,0.00,180,0.30,347
