Date,Variable_1,Variable_2,Variable_3,Variable_4,Variable_5,Variable_6,Variable_7,Variable_8,Variable_9,Variable_10
2016-01-01,82.2,30.25,90.45,65.23,12.43,16.55,68.72,7.12,63.36,57.44
2016-01-02,80.47,50.92,36.28,13.93,72.05,11.29,49.0,15.8,80.73,21.15
2016-01-03,23.3,52.93,38.7,81.56,49.19,72.06,69.66,77.66,87.43,76.6
2016-01-04,4.2,50.47,78.09,23.06,16.55,25.69,33.64,36.22,2.75,68.31
2016-01-05,36.09,58.36,44.25,90.89,85.98,22.72,28.59,16.31,86.5,58.7
2016-01-06,88.15,43.98,15.97,13.17,18.02,8.92,84.39,71.78,71.65,35.71
2016-01-07,58.15,42.35,16.76,81.21,28.36,42.37,32.33,56.98,7.94,87.05
2016-01-08,7.67,85.48,41.5,68.58,2.79,53.25,7.68,15.4,30.95,54.93
2016-01-09,92.03,60.55,87.46,69.26,62.6,1.37,13.0,16.46,16.58,9.39
2016-01-10,31.23,8.64,43.74,58.13,8.79,60.09,43.31,34.07,81.07,23.88
2016-01-11,96.96,84.65,30.29,48.58,13.42,99.29,41.94,88.55,15.09,48.08
2016-01-12,12.18,50.58,83.6,73.1,24.45,64.75,10.71,82.84,12.12,91.31
2016-01-13,69.98,15.72,31.83,81.92,42.84,84.24,24.05,58.89,19.25,74.27
2016-01-14,55.09,54.1,3.33,59.66,8.35,61.15,48.88,58.64,71.22,85.82
2016-01-15,45.11,41.3,90.05,53.83,57.38,0.39,53.11,39.81,34.1,89.11
2016-01-16,14.32,61.89,98.9,79.66,15.22,42.99,75.58,41.22,88.09,8.44
2016-01-17,23.25,11.56,96.62,62.02,71.15,47.88,84.3,45.13,71.56,4.83
2016-01-18,47.43,87.73,94.76,56.35,48.61,33.89,66.23,41.06,39.26,65.96
2016-01-19,24.25,59.85,50.57,30.01,7.15,97.09,15.34,38.63,20.67,96.36
2016-01-20,64.22,3.92,95.56,19.38,1.57,61.98,98.24,6.86,57.61,92.81
2016-01-21,73.42,42.06,84.69,30.33,1.6,26.97,10.36,10.77,72.16,42.73
2016-01-22,13.68,13.73,75.47,84.69,32.73,51.65,85.63,83.79,10.56,4.12
2016-01-23,84.42,43.74,67.15,56.4,33.0,97.59,3.38,40.8,95.0,56.9
2016-01-24,36.29,90.28,55.06,35.57,94.94,50.85,20.14,65.57,86.27,28.28
2016-01-25,48.43,80.85,10.87,83.43,45.58,9.16,56.79,88.85,98.66,94.19
2016-01-26,20.01,69.84,67.37,79.9,51.42,96.23,27.12,45.41,21.64,25.44
2016-01-27,57.91,39.33,74.47,81.89,80.12,25.68,40.19,67.91,84.85,52.09
2016-01-28,18.14,49.42,58.41,57.16,37.88,16.89,48.94,15.51,96.91,90.27
2016-01-29,15.21,54.33,59.3,84.48,19.54,77.56,51.22,19.58,83.69,45.2
2016-01-30,81.16,0.32,20.1,25.22,22.02,13.42,15.9,6.34,90.83,98.95
2016-01-31,86.57,41.53,7.49,33.6,4.23,78.76,48.1,64.75,10.01,4.13
2016-02-01,83.09,87.24,17.97,91.19,32.28,46.91,19.72,55.86,58.8,14.51
2016-02-02,51.94,14.39,10.88,35.95,29.3,44.04,95.62,54.13,45.62,48.37
2016-02-03,49.75,36.52,81.56,26.95,21.14,8.48,23.74,2.61,94.57,84.24
2016-02-04,84.47,87.14,78.42,70.47,25.33,91.77,57.34,77.14,50.99,29.59
2016-02-05,39.19,93.23,51.61,39.29,54.47,90.23,68.66,51.82,29.59,59.65
2016-02-06,39.98,48.42,59.49,91.35,23.68,2.34,41.68,2.47,7.57,23.67
2016-02-07,61.04,48.0,67.95,34.19,29.1,58.81,96.42,88.94,73.33,26.97
2016-02-08,74.21,2.92,18.72,37.09,92.13,96.45,72.11,31.49,43.92,6.89
2016-02-09,50.53,53.88,56.45,88.33,82.91,65.92,36.56,61.9,50.1,6.73
